condition,k,fold_index,pr_auc
contrast_artifact_trio,3,47,0.9418654389740193
contrast_artifact_trio,3,48,0.9935916395543727
contrast_artifact_trio,3,49,0.9317648789862893
contrast_biology_trio,3,0,0.946291573345869
contrast_biology_trio,3,1,0.9694566502837181
contrast_biology_trio,3,2,0.9848313966735021
contrast_biology_trio,3,3,0.9640154207104672
contrast_biology_trio,3,4,0.9772305785684823
contrast_biology_trio,3,5,0.9589168259661809
contrast_biology_trio,3,6,0.9493857716569389
contrast_biology_trio,3,7,0.9860589188637572
contrast_biology_trio,3,8,0.9935916395543727
contrast_biology_trio,3,9,0.9620805198625229
contrast_biology_trio,3,10,0.8663015320682141
contrast_biology_trio,3,11,0.9868637110016423
contrast_biology_trio,3,12,0.9880352034487374
contrast_biology_trio,3,13,0.9728913791205871
contrast_biology_trio,3,14,0.9515991750235449
contrast_biology_trio,3,15,0.9378212130854569
contrast_biology_trio,3,16,0.963626237310448
contrast_biology_trio,3,17,0.956681228301135
contrast_biology_trio,3,18,0.9125616273172665
contrast_biology_trio,3,19,0.9868928273063613
contrast_biology_trio,3,20,0.9603668978939874
contrast_biology_trio,3,21,0.9764314632735687
contrast_biology_trio,3,22,0.991780045351474
contrast_biology_trio,3,23,0.9532427277949174
contrast_biology_trio,3,24,0.935969252216488
contrast_biology_trio,3,25,0.9471644797285406
contrast_biology_trio,3,26,1.0000000000000002
contrast_biology_trio,3,27,0.8695290967570932
contrast_biology_trio,3,28,0.9667221745041776
contrast_biology_trio,3,29,0.9700426405575628
contrast_biology_trio,3,30,0.9347812634802961
contrast_biology_trio,3,31,1.0000000000000002
contrast_biology_trio,3,32,0.9199642347853247
contrast_biology_trio,3,33,0.9737056442205665
contrast_biology_trio,3,34,0.9453716655744424
contrast_biology_trio,3,35,0.9512720220279518
contrast_biology_trio,3,36,1.0000000000000002
contrast_biology_trio,3,37,0.9613890899262418
contrast_biology_trio,3,38,0.9790421727713807
contrast_biology_trio,3,39,0.9562525800496209
contrast_biology_trio,3,40,0.9999999999999998
contrast_biology_trio,3,41,0.9795876541218158
contrast_biology_trio,3,42,0.9680506711742891
contrast_biology_trio,3,43,0.9206620925477498
contrast_biology_trio,3,44,0.9362956871382828
contrast_biology_trio,3,45,0.9457597732745953
contrast_biology_trio,3,46,0.9376732423316276
contrast_biology_trio,3,47,0.9901133786848073
contrast_biology_trio,3,48,0.9955679241393529
contrast_biology_trio,3,49,0.9452212074654531
